"token
",m1,m2,m3,m4c,m4,m5c,m5,mod_class_id,mod_class_name,mod_term,mod_ay,mod_sem,mod_module_code
12011_1398,4,3,1,Good text 1,Fun,Bad text 1,Tough,PR4104,Dynamics of Interpersonal Effectiveness,720,7,2,1276
12180_1714,5,4,5,Good text 1,Fun,Bad text 1,Tough,MKT1003,Management And Organisation,1310,13,1,1291
12231_523,2,1,5,Good text 1,Fun,Bad text 1,Tough,LAJ2203,Physical Chemistry 2,1610,16,1,1217
1247_1446,1,1,3,Good text 1,Fun,Bad text 1,Tough,PY1106,Qualitative Communication Research Methods,1010,10,1,1398
12567_173,2,2,2,Good text 1,Fun,Bad text 1,Tough,ME2101,Forensic Science,810,8,1,1612
13072_1554,1,5,2,Good text 1,Fun,Bad text 1,Tough,LSM2101,Statics And Mechanics Of Materials,1220,12,2,1119
1469_470,3,4,4,Good text 1,Fun,Bad text 1,Tough,IT1005,Basic Applied Mathematics for Sciences,1010,10,1,1018
15898_1254,3,5,4,Good text 1,Fun,Bad text 1,Tough,EC2101,The Nature of Language,1500,15,0,1592
1626_1375,3,4,4,Good text 1,Fun,Bad text 1,Tough,EC3101,Statistics for Life Sciences,1420,14,2,1257
16614_613,5,4,3,Good text 1,Fun,Bad text 1,Tough,LAJ1201,DOCTORAL SEMINARS,1140,11,4,1522
16868_1609,5,2,3,Good text 1,Fun,Bad text 1,Tough,HR2002,HeadStart Module (A Career Development Programme),1220,12,2,1173
17490_1797,5,4,1,Good text 1,Fun,Bad text 1,Tough,PR3101,Equity & Trusts (B),720,7,2,1031
18007_565,5,5,3,Good text 1,Fun,Bad text 1,Tough,LSM1103,Principles of Mechanical Eng. Materials,920,9,2,1071
18034_1946,2,1,2,Good text 1,Fun,Bad text 1,Tough,ME2135,Digital Fundamentals,1230,12,3,1021
1824_1005,4,3,4,Good text 1,Fun,Bad text 1,Tough,CM1131,Malay 1,1630,16,3,1354
19211_1974,3,2,4,Good text 1,Fun,Bad text 1,Tough,EN1101E,Theories of Communications and New Media,1120,11,2,1622
19735_674,3,2,5,Good text 1,Fun,Bad text 1,Tough,ACC3606,Psychology in Everyday Life,1810,18,1,1051
20785_1230,2,1,4,Good text 1,Fun,Bad text 1,Tough,AR2221,Tumour Biology,1620,16,2,1276
21258_30,3,2,2,Good text 1,Fun,Bad text 1,Tough,NCC1000,Metabolism and Regulation,1700,17,0,1247
22297_1814,2,5,4,Good text 1,Fun,Bad text 1,Tough,EG5911,Electrical Energy Systems,820,8,2,1016
23074_241,2,4,1,Good text 1,Fun,Bad text 1,Tough,LSM3214,Singapore and Japan: Historical and Contemporary Relationships,1020,10,2,1849
24852_378,5,2,2,Good text 1,Fun,Bad text 1,Tough,ME2113,Money and Banking I,1610,16,1,8303
25004_763,2,3,3,Good text 1,Fun,Bad text 1,Tough,ST2131,Cell Biology,1110,11,1,1512
26845_1274,1,1,5,Good text 1,Fun,Bad text 1,Tough,EC1301,Financial Accounting,1010,10,1,1663
27189_1740,5,5,1,Good text 1,Fun,Bad text 1,Tough,LSM1101,"Communications, New Media and Society",1110,11,1,1575
2754_1212,1,5,1,Good text 1,Fun,Bad text 1,Tough,CS2106,Econometrics I,1810,18,1,1156
28855_1870,1,4,3,Good text 1,Fun,Bad text 1,Tough,LSM3212,Engineering Electromagnetics,810,8,1,2366
28877_729,2,1,4,Good text 1,Fun,Bad text 1,Tough,PL3234,Industrial Attachment Programme,1310,13,1,1276
2943_769,1,3,2,Good text 1,Fun,Bad text 1,Tough,AR2101,Pharmaceutical Microbiology,720,7,2,15257
2943_769,2,1,4,Good text 1,Fun,Bad text 1,Tough,PR1102,DCP Project,720,7,2,1301
30207_998,2,2,5,Good text 1,Fun,Bad text 1,Tough,DSC2006,Managerial Economics,1810,18,1,1059
31358_208,4,3,1,Good text 1,Fun,Bad text 1,Tough,MA1102R,Southeast Asia: A Changing Region,1620,16,2,3474
31952_526,2,5,4,Good text 1,Fun,Bad text 1,Tough,LSM1102,Discrete Structures,1510,15,1,1203
32480_93,1,1,1,Good text 1,Fun,Bad text 1,Tough,MA1506,Mathematics II,1030,10,3,1054
32577_199,5,4,1,Good text 1,Fun,Bad text 1,Tough,NUR2116,History and Theory of Southeast Asia Architecture,1810,18,1,1083
32603_314,3,5,2,Good text 1,Fun,Bad text 1,Tough,ES2331,Honours Project in Life Sciences,1520,15,2,1514
34710_806,2,5,5,Good text 1,Fun,Bad text 1,Tough,SW2104,Organic Chemistry 1,1020,10,2,1509
37496_1226,2,4,5,Good text 1,Fun,Bad text 1,Tough,PR3101,Equity & Trusts (B),1810,18,1,15555
37789_975,2,1,3,Good text 1,Fun,Bad text 1,Tough,EC3303,Bahasa Indonesia 1,1620,16,2,2016
39137_1178,3,5,2,Good text 1,Fun,Bad text 1,Tough,EG3602,Retelling Chinese Stories: Change and Continuity,1640,16,4,1869
40064_1891,2,3,3,Good text 1,Fun,Bad text 1,Tough,SSA1201,Macroeconomic Analysis I,1210,12,1,2868
40418_1644,1,4,2,Good text 1,Fun,Bad text 1,Tough,GET1031A,Physiology 1,1110,11,1,1360
40575_1951,5,4,1,Good text 1,Fun,Bad text 1,Tough,ME3101,Linear Algebra II,1220,12,2,3000
40608_1567,4,2,1,Good text 1,Fun,Bad text 1,Tough,EC1101E,Changing Landscapes of Singapore,1620,16,2,1048
